,Symbol,Name,Market sector,Market segment,Profit - pre tax (m),Profit - retained (m),Turnover (m),Attributable Profit,Market segment
225,"AVG","Avingtrans Plc",AMQ1,ASQ1,5.45,27.20,98.52,27.20,
226,"AVM","Avocet Mining Plc",SMEX,SSMU,"-13.71","-18.74",,"-18.74",
227,"AVN","Avanti Communications Group Plc",ASM7,AMSM,"-5.33","-29.17",57.79,"-29.17",
228,"AVO","Advanced Oncotherapy Plc",AIMP,ASX1,"-29.49","-30.26",,"-30.26",
229,"AVON","Avon Protection Plc",SSC5,SSMM,"-35.60","-37.70",248.30,"-25.60",
230,"AVST","Avast Plc",ON5,SET3,332.98,135.62,695.92,257.63,
231,"AVV","Aveva Group Plc",ON5,SET3,"-18.60","-172.60",1185.30,"-62.60",
232,"AWE","Alphawave Ip Group Plc",SMEV,SSMU,23.09,"-23.10",89.93,"-23.10",
233,"AXI","Axiom European Financial Debt Fund Limited",SQQ3,SSQ3,14.75,9.23,6.29,14.75,
234,"AXL","Arrow Exploration Corp.",AMQ1,ASQ1,3.23,4.05,5.30,4.05,
235,"AXM","Alexander Mining Plc",AIMP,ASX1,"-0.51","-0.51",,"-0.51",
236,"AXS","Accsys Technologies Plc",ASM6,AMSM,1.44,2.15,101.80,2.15,
237,"AYM","Anglesey Mining Plc",AMQ1,ASQ1,"-0.33","-0.33",,"-0.33",
238,"AZN","Astrazeneca Plc",FE10,SET1,"-195.96","-2768.59",27668.85,82.82,
239,"B90","B90 Holdings Plc",AMQ1,ASQ1,"-2.87","-2.82",0.70,"-2.82",
240,"BA.","Bae Systems Plc",FE10,SET1,2110.00,981.00,19521.00,1758.00,
241,"BAB","Babcock International Group Plc",F25F,STMM,182.30,164.20,4101.80,164.20,
242,"BAF","British & American Investment Trust Plc",SQQ3,SSQ3,0.98,0.14,1.44,1.01,
243,"BAG","Barr (a.g.) Plc",F25F,STMM,42.20,27.90,268.60,27.90,
244,"BAGR","Bagir Group Ltd.",AMQ1,ASQ1,"-5.78","-5.85",56.41,"-5.85",
245,"BAKK","Bakkavor Group Plc",F25T,STMM,81.40,56.80,1871.60,56.80,
246,"BANK","Fiinu Plc",AIMP,ASX1,"-0.44","-0.44",2.94,"-0.44",
247,"BAR","Brand Architekts Group Plc",AMQ1,ASQ1,"-1.88","-2.25",15.88,"-2.25",
248,"BARC","Barclays Plc",FE10,SET1,8414.00,5863.00,21940.00,6375.00,
